UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1600330000000,00;0.00061;0.24599;8.013;5.081;3.319;0.026581;0.007935;0.004578;0;0.000305;0.00061;0.006714;1.176;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.00061;0.002441;0.003357;0.001984;6.1e-05;0.000763;0.000488;3.1e-05;0;0.000275;0.091858;0.639343;0.323486;1600326823;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600326823;0;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1600330000000,00;0.00061;0.245065;8.013;5.109;3.319;0.027588;0.007324;0.003662;0;0;0.00061;0.006714;1.187;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000793;0.000458;3.1e-05;0;0.000275;0.093079;0.640259;0.322876;1600326842;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600326842;0;0;2;0; 0a 30 68 3d 1c 00 78 ff 2b 41 52 ff f8 01 ea fe b7 fe 14 0f 79 fa 0a 31 68 3d 1c 00 78 ff 2b 41 48 ff ea 01 e7 fe b7 fe 14 0f 79 fa 0a 32 68 3d 29 00 7e ff 50 41 48 ff ea 01 e7 fe b7 fe 14 0f 79 fa 0a 33 68 3d 1e 00 86 ff 45 41 45 ff ef 01 e8 fe b7 fe 14 0f 79 fa 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1600330000000,00;0.00061;0.245065;8.003;5.229;3.319;0.029205;0.007324;0.004578;0.000305;0;0.00061;0.006409;1.194;0.018616;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.001984;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.092468;0.639648;0.322266;1600326984;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600326984;0;0;2;0; 0a 30 68 3d 1f 00 97 ff 32 41 55 ff db 01 d1 fe c3 fe 3e 0f 8f fa 0a 31 68 3d 2c 00 88 ff 48 41 4c ff d9 01 df fe c3 fe 3e 0f 8f fa 0a 32 68 3d 2c 00 88 ff 48 41 46 ff d6 01 e1 fe c3 fe 3e 0f 8f fa 0a 33 68 3d 1f 00 84 ff 42 41 46 ff d6 01 e1 fe c3 fe 3e 0f 8f fa 98 ff 01 00 78 ff 02 20 a0 ff 02 20 f9 ff ff ff 3c 6c 00 20 e7 ff 02 20 00 00 00 00 e7 ff 02 20
1600330000000,00;0.00061;0.246915;7.969;5.183;3.319;0.025818;0.00824;0.003052;0;0.000305;0.00061;0.007019;1.160;0.018921;0.00061;0.000305;0.000916;0.001221;0.009766;0.00061;0.002441;0.003357;0.001984;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.092773;0.636597;0.327454;1600327502;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327502;0;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1600330000000,00;0.00061;0.24784;7.963;5.250;3.319;0.02597;0.007019;0.004272;0.000305;0.000305;0.00061;0.006714;1.195;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.003052;0.003357;0.002136;6.1e-05;0.000763;0.000427;6.1e-05;0;0.000275;0.092468;0.636292;0.332336;1600327558;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327558;0;0;2;0; 54 68 69 73 20 69 73 20 62 65 61 63 6f 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1600330000000,00;0.00061;0.24784;7.963;5.185;3.319;0.021637;0.00824;0.004578;0;0;0.00061;0.007324;1.153;0.019226;0.00061;0.000305;0.001221;0.00061;0.010376;0.001221;0.003052;0.003052;0.002136;6.1e-05;0.000732;0.000427;3.1e-05;0;0.000275;0.092163;0.636292;0.328369;1600327559;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327559;0;0;2;255; 0a 30 68 3d 2e 00 9a ff 3e 41 55 ff 06 02 d5 fe d7 fe 35 0f 24 fa 0a 31 68 3d 2e 00 9a ff 1b 41 5f ff f2 01 d8 fe d7 fe 35 0f 24 fa 0a 32 68 3d 1d 00 7a ff 1b 41 5f ff f2 01 d8 fe d7 fe 35 0f 24 fa 0a 33 68 3d 16 00 8b ff 51 41 4e ff f9 01 d0 fe d7 fe 35 0f 24 fa 02 00 01 00 00 00 00 40 a0 ff 01 00 00 00 00 40 3c 6c 00 20 88 ff 02 20 b0 ff 02 20 f9 ff ff ff
1600330000000,00;0.00061;0.246915;7.963;5.199;3.319;0.026886;0.00824;0.004883;0.000305;0.000305;0.00061;0.007324;1.161;0.018921;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000793;0.000458;3.1e-05;0;0.000275;0.091858;0.636292;0.328369;1600327560;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327560;0;0;2;0; 0a 30 68 3d 33 00 90 ff 2f 41 58 ff f4 01 e9 fe ac fe 1c 0f ac f9 0a 31 68 3d 19 00 a4 ff 33 41 55 ff f4 01 d8 fe ac fe 1c 0f ac f9 0a 32 68 3d 21 00 9f ff 42 41 5d ff 07 02 e0 fe ac fe 1c 0f ac f9 0a 33 68 3d 06 00 92 ff 38 41 58 ff 0c 02 de fe ac fe 1c 0f ac f9 00 00 00 00 a0 ff 02 20 00 00 00 00 f9 ff ff ff 3c 6c 00 20 e7 ff 02 20 00 00 00 00 e7 ff 02 20
1600330000000,00;0.00061;0.30795;7.956;5.188;3.318;0.025085;0.007019;0.003662;0;0;0.00061;0.006409;1.195;0.019226;0.00061;0.000305;0.001221;0.001221;0.010376;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.093079;0.636292;0.324707;1600327561;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327561;0;0;2;0; 0a 30 68 3d 20 00 a4 ff 3c 41 64 ff fe 01 d5 fe ae fe 21 0f 35 fa 0a 31 68 3d 11 00 9a ff 50 41 53 ff fc 01 da fe ae fe 21 0f 35 fa 0a 32 68 3d 28 00 91 ff 46 41 54 ff fe 01 d6 fe ae fe 21 0f 35 fa 0a 33 68 3d 28 00 91 ff 46 41 60 ff fb 01 db fe ae fe 21 0f 35 fa 00 00 00 00 00 00 00 00 80 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00 00 00 08 e2 00 00 00 00
1600330000000,00;0.00061;0.24784;7.963;5.128;3.318;0.028198;0.007935;0.004883;0;0.000305;0.00061;0.007019;1.176;0.019531;0.00061;0.000305;0.001221;0.001221;0.009766;0.001221;0.002441;0.003357;0.002136;6.1e-05;0.000763;0.000458;3.1e-05;0;0.000275;0.092163;0.636292;0.327759;1600327562;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327562;0;0;2;0; 0a 30 68 3d 1a 00 89 ff 40 41 41 ff fd 01 e2 fe 99 fe 22 0f 34 fa 0a 31 68 3d 1a 00 a4 ff 39 41 46 ff e8 01 e9 fe 99 fe 22 0f 34 fa 0a 32 68 3d 1e 00 a4 ff 39 41 46 ff ef 01 d7 fe 99 fe 22 0f 34 fa 0a 33 68 3d 0a 00 8b ff 29 41 42 ff ef 01 d7 fe 99 fe 22 0f 34 fa 02 00 01 00 78 ff 02 20 a0 ff 02 20 f9 ff ff ff 3c 6c 00 20 e7 ff 02 20 00 00 00 00 e7 ff 02 20
1600330000000,00;0.00061;0.24784;7.963;5.133;3.318;0.026031;0.007019;0.003662;0;0.000305;0.00061;0.006409;1.199;0.018921;0.00061;0.000305;0.001221;0.001221;0.010376;0.00061;0.002441;0.003357;0.001984;6.1e-05;0.000732;0.000458;3.1e-05;0;0.000275;0.093079;0.636292;0.327454;1600327563;161;11000001 | 00010000 | 00000011 | 00000000 | ;3;1600327563;0;0;2;0; 0a 30 68 3d 17 00 8f ff 4c 41 4e ff f2 01 e1 fe ac fe 32 0f e6 f9 0a 31 68 3d 24 00 9b ff 3d 41 46 ff f9 01 db fe ac fe 32 0f e6 f9 0a 32 68 3d 24 00 9b ff 3d 41 4b ff e6 01 e4 fe ac fe 32 0f e6 f9 0a 33 68 3d 26 00 8e ff 58 41 4b ff e6 01 e4 fe ac fe 32 0f e6 f9 02 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
