UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 7c 2d 2d 2d 4e 6f 20 70 61 79 6c 6f 61 64 20 72 65 73 70 2e 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 7c
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,60129E+12;0.00061;0.302401;7.393;5.230;3.320;0.03006;0.013733;0.002747;0.000305;0.000305;0.00061;0.010986;0.920035;0.019226;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007324;0.001984;9.2e-05;0.000702;0.000366;6.1e-05;6.1e-05;0.000275;0.067749;0.588379;0.327454;1601293351;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293420;25;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.297778;7.396;5.119;3.320;0.029419;0.014038;0.002747;0.000305;0.000305;0.00061;0.011292;0.916795;0.019226;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.002441;0.007324;0.002136;6.1e-05;0.000763;0.000366;6.1e-05;6.1e-05;0.000275;0.067139;0.588379;0.332336;1601293352;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293421;25;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.299627;7.393;5.140;3.319;0.028015;0.014343;0.002747;0.000305;0.000305;0.00061;0.011292;0.916795;0.018921;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000763;0.000366;6.1e-05;6.1e-05;0.000275;0.066833;0.588379;0.328979;1601293353;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293408;25;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.299627;7.389;5.240;3.320;0.026367;0.014038;0.002747;0.000305;0.000305;0.00061;0.010681;0.916795;0.019226;0.00061;0.00061;0.000916;0.001221;0.010376;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000763;0.000397;6.1e-05;6.1e-05;0.000275;0.066833;0.588379;0.32959;1601293354;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293409;25;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.302401;7.393;5.054;3.319;0.036743;0.014038;0.002441;0.000305;0.000305;0.00061;0.011292;0.916795;0.019531;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000732;0.000397;6.1e-05;6.1e-05;0.000275;0.067139;0.588074;0.331116;1601293355;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293424;25;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.270034;7.403;5.072;3.320;0.025787;0.013733;0.002441;0.000305;0.000305;0.00061;0.010986;0.916795;0.013428;0.00061;0.000305;0.000916;0.00061;0.009766;0.001221;0.002441;0.007019;0.002136;6.1e-05;0.000793;0.000397;6.1e-05;6.1e-05;0.000275;0.067139;0.588684;0.203552;1601293356;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293425;4121;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.275583;7.399;5.083;3.319;0.042694;0.014343;0.002747;0.000305;0.000305;0.00061;0.010986;0.921654;0.014038;0.00061;0.000305;0.001221;0.001221;0.010986;0.001221;0.002441;0.007324;0.001984;9.2e-05;0.000732;0.000397;6.1e-05;6.1e-05;0.000275;0.068359;0.5896;0.203552;1601293357;17;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601293424;4121;0;2;0; 0a 30 68 3d fb fd b6 be 49 01 90 ff e4 f5 9b fe da fe 02 17 03 07 0a 31 68 3d fb fc 60 be bd 01 8d ff c0 f5 88 fe da fe 02 17 03 07 0a 32 68 3d aa fc 60 be bd 01 8d ff ae f5 b9 fe da fe 02 17 03 07 0a 33 68 3d 52 fd b1 be 0a 02 6a ff ae f5 b9 fe da fe 02 17 03 07 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
