UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,60129E+12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000 | 00000000 | 00000000 | 00000000 | ;0;0;0;0;0;0; 7c 2d 2d 2d 4e 6f 20 70 61 79 6c 6f 61 64 20 72 65 73 70 2e 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 7c
1,60129E+12;0.00061;0.299627;7.433;5.214;3.320;0.027313;0.013733;0.002747;0.000305;0.000305;0.00061;0.010986;0.934613;0.018921;0.00061;0.000305;0.001221;0.001221;0.010376;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000763;0.000397;6.1e-05;3.1e-05;0.000275;0.070801;0.591736;0.334778;1601291165;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291165;57367;0;2;0; 0a 30 68 3d 02 00 82 fd cc 41 31 00 b9 02 0a 0c b8 fb 21 0e 34 f6 0a 31 68 3d f7 ff 6b fd cc 41 31 00 b9 02 03 0c b8 fb 21 0e 34 f6 0a 32 68 3d d1 ff 61 fd aa 41 31 00 b1 02 03 0c b8 fb 21 0e 34 f6 0a 33 68 3d b6 ff 59 fd 7b 41 2a 00 c0 02 18 0c b8 fb 21 0e 34 f6 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.299627;7.433;5.172;3.319;0.025909;0.013733;0.002747;0.000305;0.000305;0.00061;0.010986;0.936232;0.019226;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.003052;0.007019;0.002136;6.1e-05;0.000732;0.000397;6.1e-05;3.1e-05;0.000275;0.071106;0.591736;0.328674;1601291166;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291166;57367;0;2;0; 0a 30 68 3d d5 01 6e ff 75 41 be ff e4 02 ab 0e 24 fe e3 0e 9d f5 0a 31 68 3d de 01 61 ff 65 41 b9 ff fa 02 9a 0e 3f fe 0a 0f ce f5 0a 32 68 3d f0 01 72 ff 5e 41 ad ff 04 03 a2 0e 3f fe 0a 0f ce f5 0a 33 68 3d 1e 02 97 ff 82 41 d9 ff 01 03 8e 0e 3f fe 0a 0f ce f5 00 00 00 00 00 00 00 00 80 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00 00 00 08 e2 00 00 00 00
1,60129E+12;0.00061;0.295928;7.433;5.127;3.320;0.030914;0.014343;0.002747;0.000305;0.000305;0.00061;0.010986;0.924894;0.018921;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.003052;0.007324;0.002136;6.1e-05;0.000763;0.000397;6.1e-05;3.1e-05;0.000275;0.068359;0.591736;0.325012;1601291167;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291167;61463;0;2;0; 0a 30 68 3d f1 02 59 01 29 41 e3 00 1e 04 0f 0e 06 01 26 0e 9d f5 0a 31 68 3d 0b 03 3f 01 63 41 e6 00 2a 04 01 0e 23 01 fa 0d 4a f5 0a 32 68 3d 15 03 1c 01 98 41 ee 00 1c 04 14 0e 23 01 fa 0d 4a f5 0a 33 68 3d 15 03 1c 01 98 41 04 01 30 04 17 0e 23 01 fa 0d 4a f5 00 00 01 00 78 ff 02 20 a0 ff 02 20 f9 ff ff ff 90 6b 00 20 e7 ff 02 20 00 00 00 00 00 00 00 00
1,60129E+12;0.00061;0.297778;7.430;5.232;3.319;0.026764;0.014343;0.002441;0.000305;0.000305;0.00061;0.011292;0.916795;0.018921;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007019;0.001984;6.1e-05;0.000793;0.000397;6.1e-05;6.1e-05;0.000275;0.066528;0.591736;0.323792;1601291168;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291168;57367;0;2;0; 0a 30 68 3d 29 03 58 02 6c 42 85 fe e6 02 96 0f 0d 03 a4 0b 89 f5 0a 31 68 3d 55 03 a2 02 63 42 96 fe 0e 03 6c 0f 0d 03 a4 0b 89 f5 0a 32 68 3d 9b 03 29 03 6b 42 bb fe 1e 03 44 0f 0d 03 a4 0b 89 f5 0a 33 68 3d c3 03 8d 03 4f 42 d6 fe 23 03 1e 0f 0d 03 a4 0b 89 f5 00 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
1,60129E+12;0.00061;0.297778;7.433;5.177;3.319;0.027435;0.014648;0.002441;0.000305;0.000305;0.00061;0.011597;0.910316;0.018921;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.002441;0.007324;0.002136;6.1e-05;0.000763;0.000397;6.1e-05;3.1e-05;0.000244;0.065002;0.591736;0.324402;1601291169;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291169;57367;0;2;0; 0a 30 68 3d ea 04 05 00 1a 42 97 00 8c 03 ec 08 69 03 d6 09 e6 f5 0a 31 68 3d 14 05 66 00 5e 42 88 00 62 03 e6 08 69 03 d6 09 e6 f5 0a 32 68 3d 10 05 c8 00 6c 42 73 00 3d 03 bf 08 69 03 d6 09 e6 f5 0a 33 68 3d 10 05 c8 00 6c 42 73 00 fc 02 b0 08 69 03 d6 09 e6 f5 02 00 01 00 78 ff 02 20 a0 ff 02 20 f9 ff ff ff 3c 6c 00 20 e7 ff 02 20 00 00 00 00 e7 ff 02 20
1,60129E+12;0.00061;0.296853;7.433;5.068;3.319;0.02594;0.014343;0.002441;0.000305;0.000305;0.00061;0.010986;0.910316;0.019226;0.00061;0.000305;0.000916;0.001221;0.010986;0.001221;0.002441;0.007019;0.002136;6.1e-05;0.000793;0.000397;6.1e-05;3.1e-05;0.000244;0.064392;0.59021;0.324707;1601291170;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291170;57367;0;2;0; 0a 30 68 3d 5d 08 85 f7 1b 3b 2a 01 0c 02 dc 01 f9 02 a0 08 ba f5 0a 31 68 3d e6 05 91 f7 8c 37 4a 00 fa 00 a9 01 f9 02 a0 08 ba f5 0a 32 68 3d 91 02 04 f8 31 39 8e ff 40 00 d9 01 f9 02 a0 08 ba f5 0a 33 68 3d 45 02 89 fc 0c 3c 0c ff ad ff cc 02 f9 02 a0 08 ba f5 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 ff 02 20 01 00 00 00 10 01 00 00 00 00 00 00
1,60129E+12;0.00061;0.303326;7.430;5.054;3.319;0.027161;0.014648;0.002441;0.000305;0.000305;0.00061;0.011292;0.916795;0.019226;0.00061;0.000305;0.000916;0.001221;0.010376;0.001221;0.003052;0.007324;0.002136;6.1e-05;0.000732;0.000397;6.1e-05;3.1e-05;0.000275;0.066223;0.591125;0.328979;1601291171;15;11000001 | 00010010 | 00000011 | 00000000 | ;3;1601291171;61463;0;2;0; 0a 30 68 3d 53 ff 88 fe 7e 41 29 ff 67 02 c0 fe ce 02 ad 08 ac f5 0a 31 68 3d 7b ff 15 ff 92 41 22 ff 7c 02 c3 fe ce 02 ad 08 ac f5 0a 32 68 3d b6 ff 9b ff a3 41 21 ff 93 02 c3 fe ce 02 ad 08 ac f5 0a 33 68 3d b6 ff 07 00 a0 41 2a ff 93 02 c5 fe ce 02 ad 08 ac f5 02 00 01 00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 ff 02 20 01 00 00 00
